vendor,rule_id,src,dst,proto,port,action,finding_type,severity,rationale
fortinet,225,"Inter-FWL-VLAN4
Transit_1010
IN-PROD-VL0
PROD-DEV1",CLIENT1DEV_79,any,"TCP/22,TCP/22,TCP/23",Accept,admin_port_exposed,High,"Rule permits administrative port(s): [22, 23]"
fortinet,235,"THIRDPARTY1DEV_40
Inter-FWL-VLAN4
PROD-DEV1
BSKDEV_43","DEV_104
AD_DEV_11
_DEV_12
T_1316
DEV_14
DEV_150
DEV_151
QDEV_152
DEV_153
DEV_154
DEV_155
DEV_156
EDEV_157
DEV_158
DEV_159
FDEV_161
DEV_162
DEV_163
DEV_164
DEV_165
EV_166
DEV_167
HDEV_186
DEV_169
DEV_17
DEV_170
DEV_171
DEV_10
DEV_173
DEV_174
DEV_175
ODEV_176
DEV_177
DEV_178
DEV_18
DEV_180
DEV_183
DEV_19
DEV_230
DEV_207
DEV_215
DEV_27
DEV_272
DEV_29
DEV_33
TDEV_331
DEV_346
LDEV_349
DEV_35
DEV_359
FDASQLD_363
FILED_372
STG_375
DEV_379
DEV_383
DEV_388
DEV_392
THIRDPARTY1DEV_40
DEV_43
DEV_44
SDEV_465
DEV_48
DEV_49
DELPDEV_521
DEV2_706
SYSTEM1D_708
SDEV_73
DEV_74
DEV_75
DEV_76
DEV_77
DEV_78
CLIENT1DEV_79
DEV_81
DEV_83
NOMANSLAND_51
WAN_21
Inter-FWL-VLAN4
WAN_31
WAN_283
WAN_25
WAN_343
EWAN-FW_408
AZR-BNK_1701
AZR-NI_1700
AZR-THIRDPARTY1_1702
AZR-_1703
AZR-PSS_1704
Transit_1010
IN-PROD-VL0
AZR-FOB_1706
AZR-SYSTEM4_1707
AZR-RAB_1708
AZR-_1709
AZR-_1710
PROD-DEV1",any,"TCP/80,TCP/443",Accept,admin_port_exposed,High,"Rule permits administrative port(s): [80, 443]"
fortinet,331,"Inter-FWL-VLAN4
PROD-DEV1",CLIENT1DEV_79,any,"TCP/8810,TCP/8811,TCP/23",Accept,admin_port_exposed,High,Rule permits administrative port(s): [23]
fortinet,816,IN-PROD-VL0,CLIENT1DEV_79,any,TCP/443,Accept,admin_port_exposed,High,Rule permits administrative port(s): [443]
fortinet,907,"Inter-FWL-VLAN4
PROD-DEV1",CLIENT1DEV_79,any,TCP/443,Accept,admin_port_exposed,High,Rule permits administrative port(s): [443]
fortinet,912,"Inter-FWL-VLAN4
PROD-DEV1
IN-PROD-VL0",CLIENT1DEV_79,any,TCP/443,Accept,admin_port_exposed,High,Rule permits administrative port(s): [443]
fortinet,1361,"Transit_1010
IN-PROD-VL0",CLIENT1DEV_79,any,"TCP/1433,TCP/80",Accept,admin_port_exposed,High,"Rule permits administrative port(s): [80, 1433]"
fortinet,1362,"Transit_1010
IN-PROD-VL0",CLIENT1DEV_79,any,"TCP/8911-8912,TCP/21",Accept,admin_port_exposed,High,Rule permits administrative port(s): [21]
fortinet,1363,"Inter-FWL-VLAN4
PROD-DEV1",CLIENT1DEV_79,any,TCP/3389,Accept,admin_port_exposed,High,Rule permits administrative port(s): [3389]
fortinet,1364,"WAN_21
EWAN-FW_408
Transit_1010
IN-PROD-VL0",CLIENT1DEV_79,any,"TCP/80,TCP/443",Accept,admin_port_exposed,High,"Rule permits administrative port(s): [80, 443]"
fortinet,1365,"Transit_1010
IN-PROD-VL0",CLIENT1DEV_79,any,TCP/443,Accept,admin_port_exposed,High,Rule permits administrative port(s): [443]
fortinet,1367,"Inter-FWL-VLAN4
IN-PROD-VL0",CLIENT1DEV_79,any,"TCP/80,TCP/443,TCP/3389",Accept,admin_port_exposed,High,"Rule permits administrative port(s): [80, 443, 3389]"
fortinet,1368,IN-PROD-VL0,CLIENT1DEV_79,any,"TCP/80,TCP/443,TCP/1433",Accept,admin_port_exposed,High,"Rule permits administrative port(s): [80, 443, 1433]"
fortinet,1369,IN-PROD-VL0,CLIENT1DEV_79,any,"TCP/80,TCP/443",Accept,admin_port_exposed,High,"Rule permits administrative port(s): [80, 443]"
fortinet,1370,"IN-PROD-VL0
Inter-FWL-VLAN4",CLIENT1DEV_79,any,"TCP/22,TCP/8810-8811,TCP/23,TCP/3389",Accept,admin_port_exposed,High,"Rule permits administrative port(s): [22, 23, 3389]"
fortinet,1371,"Inter-FWL-VLAN4
IN-PROD-VL0",CLIENT1DEV_79,any,"TCP/80,TCP/1433",Accept,admin_port_exposed,High,"Rule permits administrative port(s): [80, 1433]"
fortinet,1376,IN-PROD-VL0,CLIENT1DEV_79,any,TCP/443,Accept,admin_port_exposed,High,Rule permits administrative port(s): [443]
fortinet,104,IN-PROD-VL0,CLIENT1DEV_79,any,"TCP/80,TCP/443,TCP/1433",Accept,admin_port_exposed,High,"Rule permits administrative port(s): [80, 443, 1433]"
fortinet,105,IN-PROD-VL0,CLIENT1DEV_79,any,"TCP/80,TCP/443",Accept,admin_port_exposed,High,"Rule permits administrative port(s): [80, 443]"
fortinet,106,IN-PROD-VL0,CLIENT1DEV_79,any,"TCP/22,TCP/8810-8811",Accept,admin_port_exposed,High,Rule permits administrative port(s): [22]
